Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,playerid
Nick Nelson,NYY,0,1,0,2,2,1.2,16.2,27,0,0.5,62.50%,50.00%,0.00%,96.7,16.2,,10.37,12.49,-0.1,20153
Alex Young,ARI,0,1,0,2,2,7,6.43,3.86,2.57,0.417,57.40%,42.30%,25.00%,92,10.29,,6.74,5.04,-0.1,18333
Luke Farrell,MIN,0,1,0,1,1,1,9,0,9,0.75,35.70%,44.40%,50.00%,91,45,,14.17,4.7,-0.1,15101
Robert Gsellman,NYM,0,1,0,1,1,2,0,0,4.5,0.286,100.00%,50.00%,50.00%,,4.5,,9.67,4.93,-0.1,13696
Nate Pearson,TOR,0,1,0,1,1,2.1,0,19.29,0,0.364,66.70%,36.40%,0.00%,95.5,11.57,,9.6,14.14,-0.1,20160
Clarke Schmidt,NYY,0,0,0,1,1,4.1,4.15,6.23,2.08,0.333,62.50%,66.70%,25.00%,92.7,4.15,,8.02,6.64,-0.1,19899
Brandon Kintzler,PHI,0,0,0,1,1,1,0,0,9,0,100.00%,50.00%,50.00%,,9,,16.17,6.7,-0.1,9939
Jhonathan Diaz,LAA,0,0,0,2,2,6,7.5,9,1.5,0.333,73.50%,40.90%,11.10%,90.4,7.5,,7.17,7.65,-0.1,20298
Jake Reed,LAD,0,0,0,1,1,1,0,0,9,0,100.00%,75.00%,100.00%,,9,,16.17,4.93,-0.1,16209
Kutter Crawford,BOS,0,1,0,1,1,2,9,9,4.5,0.5,35.70%,11.10%,20.00%,94.3,22.5,20.74,10.67,8.58,-0.1,20531
Johan Oviedo,STL,0,5,0,13,13,57.2,7.34,5.46,1.25,0.291,68.70%,47.50%,14.50%,95,5.31,,5.48,5.36,-0.1,22487
Cory Abbott,CHC,0,0,0,1,1,5,7.2,3.6,3.6,0.167,100.00%,28.60%,28.60%,92.8,3.6,,7.97,5.24,-0.1,20277
Peter Lambert,COL,0,0,0,2,2,5.2,4.76,3.18,3.18,0.435,62.50%,52.00%,25.00%,93.6,11.12,5.23,7.76,5.66,-0.1,17969
Janson Junk,LAA,0,1,0,4,4,16.1,5.51,1.1,2.76,0.278,73.30%,37.90%,20.80%,92.7,3.86,6.24,6.29,4.91,-0.1,23301
Cody Ponce,PIT,0,2,0,2,2,6.2,6.75,5.4,2.7,0.5,61.70%,39.30%,20.00%,92.3,12.15,,7.37,6.12,-0.1,17920
Connor Seabold,BOS,0,0,0,1,1,3,0,6,3,0.222,83.30%,40.00%,25.00%,90.6,6,10.43,9.5,7.52,-0.1,19695
Alexander Wells,BAL,1,3,0,8,8,37,5.84,2.92,2.43,0.294,67.40%,30.20%,16.70%,88.6,7.05,,6.6,5.95,-0.1,19845
Ryan Castellani,COL,0,0,0,1,1,3.1,5.4,10.8,2.7,0.444,93.00%,40.00%,25.00%,90.8,5.4,16.47,10.37,8.59,-0.1,16377
Reid Detmers,LAA,1,3,0,5,5,20.2,8.27,4.79,2.18,0.328,68.80%,33.80%,16.10%,92.9,7.4,5.66,6.36,5.86,-0.2,27468
Danny Coulombe,MIN,0,0,0,1,1,1.2,10.8,0,10.8,0,125.00%,33.30%,50.00%,91,5.4,,16.37,5,-0.2,13293
Robert Dugger,SEA,0,2,0,4,4,11.1,5.56,6.35,1.59,0.314,62.50%,44.40%,15.40%,91.1,7.15,,6.61,6.34,-0.2,19191
Brad Peacock,BOS,0,1,0,1,1,2.1,0,7.71,3.86,0.125,0.00%,11.10%,14.30%,91.5,19.29,,12.6,12.32,-0.2,5401
Justin Steele,CHC,2,4,0,9,9,43.2,7.83,4.12,2.06,0.273,78.80%,45.70%,23.80%,93,4.95,,5.99,4.71,-0.2,17312
Adrian Morejon,SDP,0,0,0,2,2,4.2,5.79,3.86,3.86,0.231,100.00%,53.30%,66.70%,96.7,3.86,6,8.74,4.3,-0.2,20039
Jay Jackson,SFG,0,1,0,1,1,0.1,27,54,27,0,0.00%,0.00%,100.00%,94.8,81,,54.17,20.46,-0.2,7432
Jake Latz,TEX,0,1,0,1,1,4.2,7.71,0,5.79,0.167,100.00%,20.00%,33.30%,93.3,5.79,3.57,9.81,4.86,-0.2,21306
Touki Toussaint,ATL,3,3,0,10,10,49,8.82,3.86,2.02,0.254,76.90%,46.60%,23.90%,93.2,4.59,,5.78,4.52,-0.2,16929
Packy Naughton,LAA,0,4,0,5,5,17.1,5.19,5.71,1.56,0.328,63.80%,50.00%,25.00%,90.4,7.79,,6.34,5.31,-0.2,23292
Seth Frankoff,ARI,0,2,0,3,3,13.2,7.24,5.93,1.98,0.326,58.80%,51.20%,20.00%,91.2,9.22,,6.83,5.91,-0.2,11346
Taylor Widener,ARI,2,1,0,13,13,61,9.44,4.72,1.92,0.253,82.40%,34.10%,16.50%,92.7,4.28,,5.71,5.23,-0.2,19266
Luis Oviedo,PIT,0,1,0,1,1,1,18,27,9,0.667,13.20%,57.10%,33.30%,94.1,54,,24.17,16.46,-0.2,21728
Andrew Kittredge,TBR,0,0,0,4,4,6.1,9.95,2.84,4.26,0.143,100.00%,41.20%,50.00%,,4.26,,8.06,3.58,-0.2,12828
Alec Bettinger,MIL,0,1,0,1,1,4,0,4.5,4.5,0.429,26.80%,36.40%,28.60%,91.1,24.75,,11.92,8.51,-0.2,20312
Jordan Lyles,TEX,9,13,0,30,30,167,7.54,2.86,2.05,0.307,75.20%,37.60%,18.90%,93.4,5.39,,5.53,4.69,-0.2,7593
Justus Sheffield,SEA,5,8,0,15,15,73.2,7.21,4.28,1.71,0.347,65.30%,45.50%,18.20%,93.9,6.48,,5.67,5.04,-0.2,17285
Jackson Kowar,KCR,0,6,0,8,8,27.1,9.22,6.59,1.98,0.391,47.50%,34.40%,16.20%,95.7,11.85,,6.28,5.81,-0.2,21549
T.J. Zeuch,TOR,0,0,0,3,3,11,4.09,4.09,2.45,0.25,78.10%,48.70%,18.80%,90.7,4.91,,7.17,6.19,-0.2,19269
Miguel Yajure,PIT,0,2,0,3,3,11.1,7.15,3.97,3.18,0.258,52.60%,42.90%,30.80%,91,8.74,,7.49,4.93,-0.2,21111
Matt Shoemaker,MIN,2,7,0,11,11,50.2,6.04,3.73,1.95,0.289,58.60%,45.10%,18.30%,91.8,7.28,,6.01,5.28,-0.2,4776
Adam Plutko,BAL,0,0,0,1,1,1,0,9,18,0.5,45.50%,33.30%,66.70%,91.9,36,,32.17,11.46,-0.2,15846
Thomas Eshelman,BAL,0,3,0,6,6,21,2.57,3.43,2.57,0.304,64.20%,28.90%,14.60%,86,8.14,,7.46,7.19,-0.2,18361
Matt Moore,PHI,1,4,0,13,13,56.1,8.15,5.27,2.08,0.301,70.20%,37.60%,18.30%,92.4,6.55,,6.22,5.45,-0.2,1890
Tanner Roark,TOR,0,1,0,1,1,3,6,0,9,0.3,55.60%,23.10%,37.50%,91.7,15,,14.84,6.54,-0.2,8753
Hans Crouse,PHI,0,2,0,2,2,7,2.57,9,2.57,0.095,85.40%,18.20%,15.40%,92.7,5.14,4.54,9.31,8.88,-0.2,22192
Riley O'Brien,CIN,0,1,0,1,1,1.1,13.5,20.25,13.5,0,100.00%,50.00%,100.00%,91.7,13.5,29.62,26.42,9.57,-0.2,20348
Adrian Sampson,CHC,1,1,0,5,5,24,6.75,1.88,2.63,0.219,100.00%,44.30%,24.10%,92.2,3,,6.46,4.8,-0.2,13339
Kolby Allard,TEX,2,12,0,17,17,91.2,6.58,1.87,2.26,0.252,66.00%,37.60%,18.40%,91.8,5.4,,5.69,4.83,-0.2,18694
Ryan Feltner,COL,0,1,0,2,2,6.1,8.53,7.11,4.26,0.333,64.80%,9.50%,25.00%,92.4,11.37,8.02,10.28,7.46,-0.2,21446
Nick Neidert,MIA,1,2,0,7,7,31.2,5.4,6.54,1.14,0.264,74.90%,35.90%,9.50%,91.7,5.12,,6.17,6.87,-0.3,18699
Daniel Ponce de Leon,STL,1,1,0,2,2,6.1,4.26,7.11,2.84,0.304,60.60%,20.80%,12.50%,92.7,11.37,,9.64,10,-0.3,16110
Kyle Wright,ATL,0,1,0,2,2,6.1,8.53,7.11,2.84,0.278,68.20%,42.10%,20.00%,93.7,9.95,11.7,9.64,8.32,-0.3,19665
Robert Stock,NYM,0,2,0,3,3,9,9,9,3,0.304,75.90%,42.30%,30.00%,96.1,8,7.63,8.84,6.46,-0.3,6576
Trent Thornton,TOR,0,0,0,3,3,5.1,6.75,3.38,5.06,0.267,51.70%,44.40%,42.90%,91.6,3.38,,10.67,5.67,-0.3,17948
Darren McCaughan,SEA,0,0,0,1,1,4,4.5,2.25,6.75,0.333,51.70%,44.40%,37.50%,87.2,15.75,,13.42,7.2,-0.3,20038
Wil Crowe,PIT,4,8,0,25,25,116,8.46,4.27,1.94,0.309,74.20%,42.80%,18.80%,93.9,5.43,,5.67,4.89,-0.3,19800
Chase De Jong,PIT,1,4,0,9,9,43.2,8.04,3.92,2.27,0.302,76.50%,30.10%,16.90%,92.9,5.77,6.6,6.03,5.38,-0.3,15036
Mike Fiers,OAK,0,2,0,2,2,9.1,4.82,3.86,3.86,0.344,82.10%,41.70%,26.70%,87.3,7.71,7.82,8.96,6.22,-0.3,7754
Wes Benjamin,TEX,0,1,0,2,2,5,10.8,9,5.4,0.4,51.00%,27.80%,33.30%,90.6,16.2,,11.57,6.95,-0.3,19243
Beau Burrows,MIN,0,1,0,1,1,2,9,13.5,13.5,0.286,26.30%,0.00%,37.50%,92.1,27,,25.17,12.73,-0.3,18873
Ljay Newsome,SEA,0,1,0,1,1,2,4.5,9,13.5,0.444,20.80%,18.20%,50.00%,92,36,,24.67,10.46,-0.3,19942
Vince Velasquez,SDP,3,9,0,21,21,89,9,4.15,2.33,0.278,68.50%,31.10%,19.70%,93.3,6.27,,6.05,5.01,-0.3,11189
