Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,playerid
Tommy Milone,TOR,0,0,0,1,1,2.1,15.43,0,0,0.429,33.30%,57.10%,0.00%,84.1,7.71,,-0.26,2.01,0.2,7608
Drew Smyly,ATL,9,4,0,23,23,115.2,8.48,2.96,2.1,0.292,76.50%,39.50%,19.40%,92.1,4.75,,5.36,4.44,0.2,11760
Chad Kuhl,PIT,3,6,0,14,14,67,7.79,4.7,1.21,0.264,69.40%,46.50%,14.30%,94.4,4.43,,5.11,5.02,0.2,14975
Nick Margevicius,SEA,0,1,0,3,3,7.1,9.82,7.36,0,0.36,25.00%,36.00%,0.00%,89.7,8.59,,3.85,6.5,0.1,20395
Michael King,NYY,0,3,0,6,6,24.2,7.3,4.38,1.09,0.316,63.50%,43.60%,12.00%,95.2,5.47,,4.95,5.16,0.1,19853
Aaron Loup,NYM,0,0,0,2,2,3,9,0,0,0.286,100.00%,57.10%,0.00%,,0,,1.17,1.76,0.1,10343
Roansy Contreras,PIT,0,0,0,1,1,3,12,3,0,0.429,100.00%,57.10%,0.00%,96.6,0,2.83,1.5,3.27,0.1,22810
Chris Archer,TBR,1,0,0,5,5,17.1,9.87,3.63,1.56,0.256,83.30%,32.60%,12.50%,92.4,3.63,,4.44,4.63,0.1,6345
Miguel Diaz,SDP,0,0,0,2,2,5,9,5.4,0,0.286,71.40%,57.10%,0.00%,94.7,3.6,,2.97,3.68,0.1,18815
Dylan Bundy,LAA,2,9,0,19,19,85.2,7.98,3.26,1.89,0.276,64.00%,41.10%,18.20%,90.8,6.09,,5.42,4.73,0.1,12917
Kyle Zimmer,KCR,0,0,0,2,2,3,15,6,0,0.5,100.00%,50.00%,0.00%,94.4,0,,1.84,3.6,0.1,14169
Sean Nolin,WSN,0,2,0,5,5,17.2,8.15,2.04,2.04,0.393,79.50%,31.00%,21.10%,90.7,5.6,,5.32,4.28,0.1,11341
Ryan Burr,CHW,0,0,0,1,1,2,9,0,0,0,100.00%,100.00%,0.00%,94.3,0,,1.17,1.17,0.1,17536
Mike Mayers,LAA,0,1,0,2,2,3.2,4.91,2.45,0,0.429,42.90%,50.00%,0.00%,94.5,9.82,,2.9,4.82,0.1,15451
Austin Voth,WSN,0,0,0,1,1,2,9,0,0,0,100.00%,25.00%,0.00%,93.9,0,,1.17,3.82,0.1,15047
Sam Howard,PIT,0,0,0,1,1,1,27,0,0,0,100.00%,0.00%,0.00%,93.3,0,,-2.83,-2.83,0.1,16265
Deivi Garcia,NYY,0,2,0,2,2,8.1,7.56,4.32,1.08,0.28,51.70%,23.10%,6.70%,92.3,6.48,7.26,4.85,6.47,0.1,20276
Phil Maton,CLE,0,0,0,1,1,1.1,20.25,6.75,0,0.667,66.70%,0.00%,0.00%,92.7,6.75,,0.92,2.24,0.1,18064
Kyle Funkhouser,DET,0,0,0,2,2,5,5.4,3.6,0,0.2,100.00%,53.30%,0.00%,95.8,0,,3.77,4.83,0.1,19456
A.J. Alexy,TEX,3,1,0,4,4,19.1,6.52,6.05,0.93,0.146,83.30%,22.90%,8.00%,93.4,2.79,,5.08,6.02,0.1,22343
Wandy Peralta,NYY,0,0,0,1,1,1.2,10.8,0,0,0.4,100.00%,80.00%,0.00%,95.8,0,,0.77,0.77,0.1,14295
Justin Bruihl,LAD,0,0,0,2,2,2.2,3.38,0,0,0.25,100.00%,37.50%,0.00%,,0,,2.42,4.4,0.1,23779
Mitch White,LAD,0,3,0,4,4,16,11.81,3.38,2.25,0.308,67.10%,45.20%,26.70%,94.5,6.19,,4.92,3.32,0.1,19225
Humberto Castellanos,ARI,2,1,0,7,7,34,5.03,2.38,1.59,0.306,70.40%,40.90%,13.00%,90.5,5.56,,5.32,5.41,0.1,21183
Zac Lowther,BAL,1,3,0,6,6,23.2,8.37,4.18,1.9,0.357,63.90%,45.30%,20.00%,90.3,7.23,,5.71,4.82,0.1,20243
Sam Coonrod,PHI,0,0,0,2,2,2.1,15.43,3.86,0,0.25,66.70%,75.00%,0.00%,99.7,3.86,,2.31,3.07,0.1,17264
Keegan Thompson,CHC,0,1,0,6,6,16.1,7.71,6.06,1.1,0.333,71.90%,45.50%,11.10%,92.6,5.51,,5.25,5.6,0.1,19795
Lucas Luetge,NYY,0,0,0,1,1,2,4.5,0,0,0.286,50.00%,42.90%,0.00%,,4.5,,2.17,4.82,0.1,8337
Wade LeBlanc,STL,0,2,0,9,9,37.1,5.06,3.86,1.21,0.299,80.00%,34.60%,9.60%,87.8,4.34,,5.31,6.03,0.1,5221
Carlos Carrasco,NYM,1,5,0,12,12,53.2,8.39,3.02,2.01,0.299,63.10%,42.30%,19.70%,93.5,6.04,4.73,5.22,4.32,0.1,6632
Matt Peacock,ARI,1,5,0,8,8,34,6.35,3.18,1.59,0.345,74.10%,58.50%,20.70%,93.2,5.29,,5.11,4.32,0.1,20339
Tommy Hunter,NYM,0,0,0,1,1,2,4.5,0,0,0,100.00%,60.00%,0.00%,,0,,2.17,3.93,0.1,1157
Bryse Wilson,PIT,3,7,0,16,16,74,5.59,2.68,1.82,0.294,72.40%,36.70%,16.00%,93.2,5.35,5.66,5.49,5.1,0.1,19990
Adonis Medina,PHI,0,0,0,1,1,3.2,7.36,4.91,0,0.364,87.50%,45.50%,0.00%,92.5,2.45,,4.81,5.77,0.1,19903
Brent Suter,MIL,0,1,0,1,1,2.1,7.71,3.86,0,0.444,40.00%,66.70%,0.00%,87.2,11.57,,2.74,4.25,0.1,13942
Jefry Rodriguez,WSN,0,0,0,1,1,4,4.5,6.75,0,0.1,100.00%,30.00%,0.00%,94,0,,4.42,6.63,0.1,17018
Jimmy Nelson,LAD,0,0,0,1,1,1.2,16.2,10.8,0,0.333,100.00%,33.30%,0.00%,92.1,0,,3.17,5.29,0.1,10547
Zach Davies,CHC,6,12,0,32,32,148,6.93,4.56,1.52,0.305,69.10%,42.50%,16.80%,,5.78,6.36,5.45,5.03,0.1,13183
Miguel Castro,NYM,0,0,0,2,2,2,9,4.5,0,0.2,100.00%,60.00%,0.00%,,0,,2.67,3.55,0.1,15684
Joan Adon,WSN,0,0,0,1,1,5.1,15.19,5.06,1.69,0.5,93.00%,72.70%,100.00%,95.1,3.38,4.27,4.48,2.38,0.1,22925
John Curtiss,MIA,0,0,0,2,2,2,9,4.5,0,0.2,0.00%,20.00%,0.00%,94,4.5,,2.67,5.32,0.1,16128
Jordan Yamamoto,NYM,0,1,0,1,1,4,4.5,4.5,0,0.375,44.40%,25.00%,0.00%,91.1,4.5,,4.42,7.95,0.1,17585
Matt Strahm,SDP,0,1,0,1,1,1.1,6.75,0,0,0.571,75.00%,71.40%,0.00%,93,6.75,,1.67,2.99,0.1,13799
James Paxton,SEA,0,0,0,1,1,1.1,13.5,6.75,0,0,0.00%,50.00%,0.00%,94.9,6.75,1.29,2.42,2.42,0,11828
Cam Bedrosian,PHI,0,0,0,1,1,1.1,13.5,6.75,0,0,100.00%,50.00%,0.00%,93.1,0,,2.42,3.74,0,13360
Jimmy Lambert,CHW,1,1,0,3,3,11.2,6.17,3.09,1.54,0.286,84.50%,24.30%,10.00%,93.6,3.86,,5.31,6.11,0,19541
Conner Greene,BAL,0,0,0,1,1,1,18,0,0,0.5,100.00%,50.00%,0.00%,96.9,0,,2.17,2.17,0,16455
David Phelps,TOR,0,0,0,1,1,1,18,9,0,0,100.00%,100.00%,0.00%,93,0,,2.17,2.17,0,6316
Jon Lester,STL,7,6,0,28,28,141.1,5.79,3.5,1.59,0.296,73.10%,43.70%,15.80%,89,4.71,5.16,5.41,5.09,0,4930
Tony Santillan,CIN,1,2,0,4,4,16.2,10.8,5.4,1.62,0.326,85.80%,30.40%,14.30%,94.4,3.78,,5.45,5.33,0,19926
Cooper Criswell,LAA,0,1,0,1,1,1.1,0,0,0,0.6,50.00%,60.00%,0.00%,,20.25,7.68,3.17,4.49,0,24975
Conner Menez,SFG,0,0,0,1,1,2,4.5,4.5,0,0.167,100.00%,83.30%,0.00%,91,0,,3.67,3.67,0,19199
Ervin Santana,KCR,0,1,0,2,2,6,4.5,1.5,1.5,0.25,53.60%,25.00%,11.10%,92.9,6,,4.84,5.32,0,3200
Junior Guerra,LAA,0,0,0,1,1,1,18,18,0,0.75,40.00%,25.00%,0.00%,91.3,27,,5.17,8.7,0,5702
Travis Bergen,TOR,0,0,0,1,1,1,0,0,0,0,100.00%,66.70%,0.00%,93.2,0,,3.17,4.93,0,18581
Randy Dobnak,MIN,1,4,0,6,6,34.1,3.67,2.36,1.57,0.289,63.40%,59.10%,23.10%,93.8,6.29,,5.5,4.56,0,23798
Bailey Falter,PHI,0,0,0,1,1,2,0,4.5,0,0.444,40.00%,55.60%,0.00%,90.6,13.5,,4.67,5.55,0,20070
Victor Gonzalez,LAD,0,0,0,1,1,0.2,0,0,0,0.5,50.00%,50.00%,0.00%,,13.5,,3.17,5.82,0,16408
Erik Swanson,SEA,0,0,0,2,2,4.2,5.79,1.93,1.93,0.091,100.00%,41.70%,14.30%,95,1.93,,5.31,5.17,0,16587
Ashton Goudeau,COL,0,0,0,1,1,3,0,6,0,0.111,100.00%,44.40%,0.00%,92.9,0,,5.17,6.93,0,15139
