Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Lamar Sparks,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.254,0.311,0.565,0.249,52,0,0,-0.1,0,0,999,sa3004932
Terry Bowens,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.246,0.353,0.599,0.258,59,0,0,-0.1,0,0,999,sa3015107
Connor Norby,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.189,0.238,0.274,0.512,0.227,38,0,0,-0.1,0,0,999,sa3017019
Jacob Ring,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.185,0.253,0.301,0.555,0.246,51,0,0,-0.1,0,0,999,sa918728
Trevor Craport,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.199,0.249,0.311,0.561,0.246,51,0,0,-0.1,0,0,999,sa3004260
Mason Janvrin,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.176,0.23,0.278,0.508,0.225,36,0,0,-0.1,0,0,999,sa3010685
Yorkislandy Alvarez,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.244,0.261,0.505,0.225,37,0,0,-0.1,0,0,999,sa3009570
Jean Carmona,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.187,0.229,0.276,0.505,0.222,35,0,0,-0.1,0,0,999,sa3003340
Richie Martin,BAL,8,32,29,6,1,0,1,3,3,2,8,0,1,0,0.225,0.283,0.338,0.621,0.273,69,-0.1,-0.3,-1.3,0.1,0,999,17736
William Robertson,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.188,0.24,0.292,0.532,0.235,43,0,0,-0.1,0,0,999,sa3004294
John Rhodes,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.234,0.299,0.534,0.234,42,0,0,-0.1,0,0,999,sa3017162
Robert Thorburn,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.192,0.235,0.283,0.518,0.228,39,0,0,-0.1,0,0,999,sa3004240
Jacob Teter,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.235,0.306,0.542,0.237,44,0,0,-0.1,0,0,999,sa3017016
William Cook,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.221,0.305,0.525,0.229,39,0,0,-0.1,0,0,999,sa3017021
Wilkin Grullon,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.141,0.181,0.205,0.386,0.173,1,0,0,-0.1,0,0,999,sa3006222
Noelberth Romero,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.155,0.18,0.207,0.387,0.171,0,0,0,-0.1,0,0,999,sa3008808
Isaac De Leon,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.154,0.181,0.205,0.386,0.171,0,0,0,-0.1,0,0,999,sa3008784
