Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Jeremy Walker,SFG,0,0,3.88,0,1,0,1,1,0,0,1,0,1.33,7.78,3.02,3.88,0,0.1,999,19981
Ryan Walker,SFG,0,0,4.02,0,1,0,1,1,0,0,1,0,1.36,8.27,3.5,4.02,0,0.1,999,sa3007594
Melvin Adon,SFG,0,0,3.98,0,1,0,1,1,0,0,1,1,1.41,9.47,4.56,4.02,0,0.1,999,sa873314
Jamie Callahan,SFG,0,0,4.06,0,1,0,1,1,0,0,1,0,1.35,9.01,3.76,4.06,0,0.1,999,14711
Norwith Gudino,SFG,0,0,4.16,0,1,0,1,1,0,0,1,0,1.32,9.44,3.62,4.13,0,0.1,999,sa872808
Conner Menez,SFG,0,0,4.14,0,1,0,1,1,0,0,1,0,1.39,9.01,4.12,4.25,0,0.1,999,19199
JJ Santa Cruz,SFG,0,0,4.08,0,1,0,1,1,0,0,1,0,1.43,8.5,4.26,4.22,0,0.1,999,sa3007274
Yunior Marte,SFG,0,0,4.18,0,1,0,1,1,0,0,1,0,1.39,8.4,3.89,4.23,0,0,999,sa739617
Joey Marciano,SFG,0,0,4.11,0,1,0,1,1,0,0,1,0,1.42,8.71,4.28,4.24,0,0.1,999,sa3004637
Jake Dahlberg,SFG,0,0,4.22,0,0,0,1,1,0,0,1,0,1.31,7.91,2.77,4.25,0,0,999,sa3004475
Michael Plassmeyer,SFG,0,0,4.31,0,0,0,1,1,0,0,1,0,1.32,7.3,2.66,4.41,0,0,999,sa3006962
Tristan Beck,SFG,0,0,4.53,0,0,0,1,1,1,0,1,0,1.43,7.44,3.64,4.48,0,0,999,sa3008526
Enmanuel De Jesus,SFG,0,0,4.41,0,0,0,1,1,0,0,1,0,1.42,7.55,3.71,4.54,0,0,999,sa828317
Ryan Murphy,SFG,0,0,4.64,0,0,0,1,1,1,0,1,0,1.43,7.98,3.82,4.57,0,0,999,sa3014871
Jon Duplantier,SFG,0,0,4.71,0,0,0,1,1,1,0,1,0,1.48,7.63,4.18,4.69,0,0,999,19546
William Brickhouse,SFG,0,0,4.76,0,0,0,1,1,1,0,1,0,1.47,7.02,3.75,4.73,0,0,999,sa597825
Kai-Wei Teng,SFG,0,0,4.87,0,0,0,1,1,1,0,1,1,1.57,7.79,5.16,4.91,0,0,999,sa3007229
Trenton Toplikar,SFG,0,0,4.94,0,0,0,1,1,1,0,1,0,1.49,6.55,3.76,4.94,0,0,999,sa3007803
Dedniel Nunez,SFG,0,0,5.04,0,0,0,1,1,1,0,1,0,1.51,6.91,4.07,5.03,0,0,999,sa3004203
Kyle Harrison,SFG,0,0,4.96,0,0,0,1,1,1,0,1,1,1.64,7.35,5.58,5.14,0,0,999,sa3014513
Nicholas Avila,SFG,0,0,5.12,0,0,0,1,1,1,0,1,1,1.59,6.23,4.54,5.16,0,0,999,sa3011532
Nicholas Morreale,SFG,0,0,5.19,0,0,0,1,1,1,0,1,1,1.61,6.96,4.95,5.17,0,0,999,sa3011533
Carson Ragsdale,SFG,0,0,5.22,0,0,0,1,1,1,0,1,1,1.57,7.06,4.64,5.2,0,0,999,sa3014922
Jacob Wong,SFG,0,0,5.25,0,0,0,1,1,1,0,1,0,1.57,6.24,4.32,5.23,0,0,999,sa3008100
Nicholas Swiney,SFG,0,0,5.19,0,0,0,1,1,1,0,1,1,1.66,6.97,5.49,5.3,0,0,999,sa3014542
William Jensen,SFG,0,0,5.39,0,0,0,1,1,1,0,1,0,1.57,5.92,4.09,5.36,0,0,999,sa3014786
Keaton Winn,SFG,0,0,5.43,0,0,0,1,1,1,0,1,0,1.61,5.39,4.21,5.4,0,0,999,sa3006968
Seth Corry,SFG,0,0,5.2,0,0,0,1,1,1,0,1,1,1.74,7.94,6.9,5.49,0,0,999,sa3004648
Conner Nurse,SFG,0,0,5.58,0,0,0,1,1,1,0,1,1,1.65,6.19,5.01,5.57,0,0,999,sa3007214
Prelander Berroa,SFG,0,0,5.52,0,0,0,1,1,1,0,1,1,1.67,6.82,5.62,5.59,0,0,999,sa3005069
Trevor McDonald,SFG,0,0,5.72,0,0,0,1,1,1,0,1,1,1.73,5.71,5.46,5.69,0,0,999,sa3011835
Javier Solano,SFG,0,0,5.69,0,0,0,1,1,1,0,1,0,1.54,5.25,3.36,5.73,0,0,999,sa455650
Sonny Vargas,SFG,0,0,5.98,0,0,0,1,1,1,0,1,1,1.88,5.46,6.79,6.16,0,0,999,sa3006163
Jorge Garcia,SFG,0,0,6.33,0,0,0,1,1,1,0,1,1,1.84,5.06,6.21,6.33,0,0,999,sa3009229
Esmerlin Vinicio,SFG,0,0,6.22,0,0,0,1,1,1,0,1,1,1.96,5.43,7.5,6.41,0,0,999,sa3014708
Freddery Paulino,SFG,0,0,6.47,0,0,0,1,1,1,0,1,1,1.89,4.75,6.4,6.43,0,0,999,sa3005881
