Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Brady Puckett,MIA,0,0,5.62,0,1,0,1,1,1,0,1,1,1.73,6.17,5.81,5.8,0,-0.1,999,sa829632
Yeuris Jimenez,MIA,0,0,5.59,0,1,0,1,1,1,0,1,1,1.79,6.29,6.46,5.8,0,-0.1,999,sa3006386
Eliezer Rodriguez,MIA,0,0,5.59,0,1,0,1,1,1,0,1,1,1.86,6.4,7.29,5.99,0,-0.1,999,sa3003064
Edgar Sanchez,MIA,0,0,5.93,0,1,0,1,1,1,0,1,1,1.86,6.32,7.13,6.15,0,-0.1,999,sa3011131
Yoilan Quinonez,MIA,0,0,6.31,0,1,0,1,1,1,0,1,1,1.99,5.78,8.11,6.57,0,-0.1,999,sa3004769
Paul Campbell,MIA,2,2,4.37,0,44,0,44,44,21,6,38,16,1.36,7.8,3.26,4.47,0,-0.1,999,22248
Breidy Encarnacion,MIA,0,0,6.56,0,1,0,1,1,1,0,1,1,1.99,5.72,7.99,6.79,0,-0.1,999,sa3009205
Maycold Leon,MIA,0,0,6.34,0,1,0,1,1,1,0,1,1,2.07,5.99,9.03,6.8,0,-0.1,999,sa3008693
Alan Ramirez,MIA,0,0,6.95,0,1,0,1,1,1,0,1,1,2.16,6.14,9.62,7.29,0,0,999,sa3010324
Williams Valencia,MIA,0,0,7.49,0,1,0,1,1,1,0,1,1,2.21,5.09,9.42,7.62,0,0,999,sa3003097
Nick Neidert,MIA,2,3,4.84,2,36,0,43,45,23,7,33,17,1.44,6.88,3.57,4.98,-0.2,-0.2,999,18699
